city,B23001_008E,B23001_015E,B23001_022E,B23001_029E,B23001_094E,B23001_101E,B23001_108E,B23001_115E,B23001_006E,B23001_013E,B23001_020E,B23001_092E,B23001_099E,B23001_106E,state,place,year
"Scottsdale city, Arizona",224,148,312,160,0,0,41,608,2351,1321,3665,1225,1019,1979,04,65000,2005
"Tempe city, Arizona",113,183,485,297,299,228,396,532,1721,4986,7381,3017,3603,6648,04,73000,2005
"Scottsdale city, Arizona",208,0,129,108,307,0,127,257,2048,1858,3434,2915,1836,4208,04,65000,2006
"Tempe city, Arizona",566,613,519,454,778,615,58,80,3052,5913,6838,4784,4284,4266,04,73000,2006
"Scottsdale city, Arizona",440,88,84,484,57,86,126,304,2240,973,3258,1447,1363,2882,04,65000,2007
"Tempe city, Arizona",302,97,664,634,700,93,435,213,1994,4505,5991,3887,4330,5389,04,73000,2007
"Scottsdale city, Arizona",195,86,114,609,79,0,0,191,1602,1375,3434,2082,1228,2478,04,65000,2008
"Tempe city, Arizona",486,86,404,558,445,338,150,181,3668,3965,6197,3560,4599,3822,04,73000,2008
"Scottsdale city, Arizona",492,0,120,171,653,0,239,144,2317,665,4042,2210,1512,2881,04,65000,2009
"Tempe city, Arizona",672,459,291,877,240,713,139,255,2486,3999,6459,3834,4708,5203,04,73000,2009
"Scottsdale city, Arizona",199,254,630,354,412,59,292,639,1230,1744,4396,2731,1704,2749,04,65000,2010
"Tempe city, Arizona",1161,329,1430,578,738,715,408,343,3734,3969,7602,3570,3324,4400,04,73000,2010
"Scottsdale city, Arizona",59,546,115,492,466,175,0,168,1710,1210,2773,1425,1634,2124,04,65000,2011
"Tempe city, Arizona",615,788,1343,553,1015,310,901,231,2895,3901,5523,3239,4128,6300,04,73000,2011
"Scottsdale city, Arizona",350,154,98,273,522,10,400,586,1217,1075,3706,1760,1129,3795,04,65000,2012
"Tempe city, Arizona",527,714,740,980,483,474,147,288,2371,4133,6700,3650,6019,3938,04,73000,2012
"Scottsdale city, Arizona",1076,528,618,244,0,181,42,45,2605,2170,4007,1212,1385,3600,04,65000,2013
"Tempe city, Arizona",556,482,0,352,406,95,625,250,2293,4659,5331,4592,2851,5828,04,73000,2013
"Scottsdale city, Arizona",185,149,78,586,0,0,0,107,1096,1102,2616,1076,1647,4808,04,65000,2014
"Tempe city, Arizona",751,680,486,908,288,334,217,288,3660,6314,10677,2903,3877,6466,04,73000,2014
"Scottsdale city, Arizona",156,0,118,128,234,0,254,82,1384,915,4101,1384,1145,4074,04,65000,2015
"Tempe city, Arizona",678,218,348,722,561,570,159,588,4987,4339,6238,2899,4599,6847,04,73000,2015
"Scottsdale city, Arizona",143,143,82,235,53,75,142,92,1080,1600,3493,1772,2051,2335,04,65000,2016
"Tempe city, Arizona",483,427,440,933,438,56,452,308,3834,4845,5684,3721,5501,6407,04,73000,2016
"Scottsdale city, Arizona",62,0,0,262,391,0,224,173,2341,827,3541,1209,1502,3251,04,65000,2017
"Tempe city, Arizona",596,553,547,499,752,150,132,0,3668,4016,7267,3612,3866,4499,04,73000,2017
"Scottsdale city, Arizona",169,527,168,640,97,131,0,224,1768,2185,3905,2282,2158,4920,04,65000,2018
"Tempe city, Arizona",94,541,510,728,879,275,532,2,1737,4602,7438,3143,5837,6399,04,73000,2018
"Scottsdale city, Arizona",420,0,58,297,136,120,54,155,1494,534,5438,1134,2135,4745,04,65000,2019
"Tempe city, Arizona",492,553,380,559,532,528,285,458,2986,4411,6404,2913,5050,5376,04,73000,2019
"Riverside city, California",1589,397,627,1007,1154,1384,809,710,4793,5281,7837,4861,4000,5977,06,62000,2005
"Riverside city, California",764,922,613,556,1385,119,860,1834,4225,4690,7772,4301,3083,6573,06,62000,2006
"Riverside city, California",1497,801,314,1248,1707,436,777,347,4155,5458,6499,5170,2811,6878,06,62000,2007
"Riverside city, California",2069,428,1249,2170,1012,405,1094,1141,4907,4494,7309,3515,3107,6953,06,62000,2008
"Riverside city, California",1661,879,1252,1515,1705,727,361,1599,3569,4079,5604,4892,3814,4829,06,62000,2009
"Riverside city, California",1096,1243,1803,1172,654,871,1005,1321,3193,3736,8005,3490,4082,4484,06,62000,2010
"Riverside city, California",2244,1767,1250,1675,1594,571,1133,717,4922,5350,6501,3244,3637,6167,06,62000,2011
"Riverside city, California",1330,1526,743,1480,1289,1598,1430,1248,3690,5385,5954,3139,5113,5817,06,62000,2012
"Riverside city, California",1489,1806,1914,936,1182,1141,1303,881,3353,5883,8366,2547,5427,7380,06,62000,2013
"Riverside city, California",1365,1885,1477,1008,1000,1374,597,1366,3414,5364,7987,3252,5176,5459,06,62000,2014
"Riverside city, California",810,654,518,1424,1496,568,535,845,3077,4137,8374,3163,6150,4720,06,62000,2015
"Riverside city, California",1208,610,1027,816,875,343,507,865,3770,3241,6529,3694,4030,7063,06,62000,2016
"Riverside city, California",644,619,986,1323,940,233,430,1193,3020,4422,7007,3804,3973,5875,06,62000,2017
"Riverside city, California",772,263,227,669,706,443,312,989,3586,3788,6344,2935,4374,7611,06,62000,2018
"Riverside city, California",833,921,391,367,321,957,769,421,4070,4587,5883,3584,4620,5254,06,62000,2019
"South Bend city, Indiana",691,169,128,368,89,0,87,316,1372,1163,1497,871,2242,1682,18,71000,2005
"South Bend city, Indiana",211,305,217,577,330,45,482,230,693,1637,1706,782,1151,1715,18,71000,2006
"South Bend city, Indiana",534,92,144,263,292,221,196,0,1412,1284,918,1045,1059,1257,18,71000,2007
"South Bend city, Indiana",219,282,51,326,858,167,293,711,690,629,1741,2047,1278,1584,18,71000,2008
"South Bend city, Indiana",971,230,371,778,224,332,392,659,1787,790,1475,701,1058,2105,18,71000,2009
"South Bend city, Indiana",692,450,363,577,1066,577,477,487,1428,1248,1137,2038,1623,1639,18,71000,2010
"South Bend city, Indiana",645,429,582,202,290,42,400,152,1187,951,2019,954,614,1949,18,71000,2011
"South Bend city, Indiana",409,450,219,524,182,135,199,218,809,1497,870,1038,1380,1025,18,71000,2012
"South Bend city, Indiana",213,185,292,796,209,138,375,514,682,952,2362,1100,475,2114,18,71000,2013
"South Bend city, Indiana",383,193,239,250,105,211,348,387,1185,965,1889,905,1016,1863,18,71000,2014
"South Bend city, Indiana",33,615,139,194,115,44,59,296,907,1780,1903,659,482,1908,18,71000,2015
"South Bend city, Indiana",254,126,353,260,626,172,268,80,1100,766,1630,2209,1684,1391,18,71000,2016
"South Bend city, Indiana",396,61,34,370,163,142,79,286,1040,624,1660,1342,1563,1246,18,71000,2017
"South Bend city, Indiana",42,235,25,85,0,0,85,57,1011,1406,2031,1137,1435,1784,18,71000,2018
"South Bend city, Indiana",260,99,74,0,459,188,43,0,917,1574,2004,1371,1026,2183,18,71000,2019
